Task,Category,Difficulty,20B Grounded,120B Grounded,20B Evidence,120B Evidence,20B Answer,120B Answer
GE-001,single_tool,easy,PASS,PASS,PASS,PASS,PASS,PASS
GE-002,single_tool,easy,PASS,PASS,PASS,PASS,PASS,PASS
GE-003,single_tool,easy,PASS,PASS,PASS,PASS,PASS,PASS
GE-004,single_tool,easy,PASS,PASS,PASS,PASS,PASS,PASS
GE-005,single_tool,easy,PASS,PASS,PASS,PASS,PASS,PASS
GE-006,single_tool,medium,PASS,PASS,PASS,PASS,PASS,PASS
GE-007,single_tool,medium,PASS,PASS,PASS,PASS,PASS,PASS
GE-008,single_tool,medium,PASS,PASS,PASS,PASS,PASS,PASS
GE-009,single_tool,medium,PASS,PASS,PASS,PASS,PASS,PASS
GE-010,single_tool,medium,FAIL,FAIL,FAIL,FAIL,PASS,PASS
GE-011,multi_tool,medium,PASS,PASS,PASS,PASS,PASS,PASS
GE-012,multi_tool,medium,PASS,PASS,PASS,PASS,PASS,PASS
GE-013,multi_tool,medium,PASS,PASS,PASS,PASS,PASS,PASS
GE-014,multi_tool,hard,PASS,PASS,PASS,PASS,PASS,PASS
GE-015,multi_tool,hard,PASS,PASS,PASS,PASS,PASS,PASS
GE-016,multi_tool,hard,PASS,PASS,PASS,PASS,PASS,PASS
GE-017,reasoning,hard,PASS,PASS,PASS,PASS,PASS,PASS
GE-018,reasoning,hard,PASS,PASS,PASS,PASS,PASS,PASS
GE-019,reasoning,hard,FAIL,PASS,FAIL,PASS,FAIL,PASS
GE-020,reasoning,hard,PASS,PASS,PASS,PASS,PASS,PASS
